------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
NREL 5.0 MW offshore baseline aerodynamic blade input properties; note that we need to add the aerodynamic center to this file
======  Blade Properties =================================================================
         300   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0    0    0    0    13.308    3.542    1
0.2056852843    -0.002189121725    -0.009254864349    0    13.308    3.56236786    1
0.4113705686    -0.004378243449    -0.0185097287    0    13.308    3.58273572    1
0.6170558528    -0.006567365174    -0.02776459305    0    13.308    3.60310358    1
0.8227411371    -0.008756486899    -0.0370194574    0    13.308    3.623471439    1
1.028426421    -0.01094560862    -0.04627432175    0    13.308    3.643839299    1
1.234111706    -0.01313473035    -0.0555291861    0    13.308    3.664207159    1
1.43979699    -0.01532385207    -0.06478405045    0    13.308    3.684575019    1
1.645482274    -0.0175129738    -0.0740389148    0    13.308    3.704942879    1
1.851167559    -0.01970209552    -0.08329377914    0    13.308    3.725310739    1
2.056852843    -0.02189121725    -0.09254864349    0    13.308    3.745678599    1
2.262538127    -0.02408033897    -0.1018035078    0    13.308    3.766046458    1
2.468223411    -0.0262694607    -0.1110583722    0    13.308    3.786414318    1
2.673908696    -0.02845858242    -0.1203132365    0    13.308    3.806782178    2
2.87959398    -0.03064770415    -0.1295681009    0    13.308    3.827150038    2
3.085279264    -0.03283682587    -0.1388229652    0    13.308    3.847517898    2
3.290964548    -0.0350259476    -0.1480778296    0    13.308    3.867885758    2
3.496649833    -0.03721506932    -0.1573326939    0    13.308    3.888253618    2
3.702335117    -0.03940419105    -0.1665875583    0    13.308    3.908621477    2
3.908020401    -0.04159331277    -0.1758424226    0    13.308    3.928989337    2
4.113705686    -0.04378243449    -0.185097287    0    13.308    3.949357197    2
4.31939097    -0.04597155622    -0.1943521513    0    13.308    3.969725057    2
4.525076254    -0.04816067794    -0.2036070157    0    13.308    3.990092917    2
4.730761538    -0.05034979967    -0.21286188    0    13.308    4.010460777    2
4.936446823    -0.05253892139    -0.2221167444    0    13.308    4.030828637    2
5.142132107    -0.05472804312    -0.2313716087    0    13.308    4.051196496    2
5.347817391    -0.05691716484    -0.2406264731    0    13.308    4.071564356    2
5.553502676    -0.05910628657    -0.2498813374    0    13.308    4.091932216    2
5.75918796    -0.06129540829    -0.2591362018    0    13.308    4.112300076    2
5.964873244    -0.06348453002    -0.2683910661    0    13.308    4.132667936    2
6.170558528    -0.06567365174    -0.2776459305    0    13.308    4.153035796    2
6.376243813    -0.06786277347    -0.2869007948    0    13.308    4.173403656    2
6.581929097    -0.07005189519    -0.2961556592    0    13.308    4.193771515    2
6.787614381    -0.07224101692    -0.3054105235    0    13.308    4.214139375    2
6.993299666    -0.07443013864    -0.3146653879    0    13.308    4.234507235    2
7.19898495    -0.07661926037    -0.3239202522    0    13.308    4.254875095    2
7.404670234    -0.07880838209    -0.3331751166    0    13.308    4.275242955    2
7.610355518    -0.08099750381    -0.3424299809    0    13.308    4.295610815    2
7.816040803    -0.08318662554    -0.3516848453    0    13.308    4.315978675    3
8.021726087    -0.08537574726    -0.3609397096    0    13.308    4.336346534    3
8.227411371    -0.08756486899    -0.370194574    0    13.308    4.356714394    3
8.433096656    -0.08975399071    -0.3794494383    0    13.308    4.377082254    3
8.63878194    -0.09194311244    -0.3887043027    0    13.308    4.397450114    3
8.844467224    -0.09413223416    -0.397959167    0    13.308    4.417817974    3
9.050152508    -0.09632135589    -0.4072140314    0    13.308    4.438185834    3
9.255837793    -0.09851047761    -0.4164688957    0    13.308    4.458553694    3
9.461523077    -0.1006995993    -0.4257237601    0    13.308    4.478921553    3
9.667208361    -0.1028887211    -0.4349786244    0    13.308    4.499289413    3
9.872893645    -0.1050778428    -0.4442334888    0    13.308    4.519657273    3
10.07857893    -0.1072669645    -0.4534883531    0    13.308    4.540025133    3
10.28426421    -0.1090192478    -0.4613780162    0    13.29602981    4.556142002    3
10.4899495    -0.1085860638    -0.4624376887    0    13.22417374    4.550991508    3
10.69563478    -0.1081528799    -0.4634973613    0    13.15231767    4.545841015    3
10.90132007    -0.1077196959    -0.4645570338    0    13.0804616    4.540690522    3
11.10700535    -0.1072865119    -0.4656167063    0    13.00860553    4.535540029    3
11.31269064    -0.106853328    -0.4666763788    0    12.93674946    4.530389535    3
11.51837592    -0.106420144    -0.4677360514    0    12.86489339    4.525239042    3
11.7240612    -0.10598696    -0.4687957239    0    12.79303732    4.520088549    3
11.92974649    -0.1055537761    -0.4698553964    0    12.72118125    4.514938055    3
12.13543177    -0.1051205921    -0.4709150689    0    12.64932518    4.509787562    3
12.34111706    -0.1046874082    -0.4719747415    0    12.57746911    4.504637069    3
12.54680234    -0.1042542242    -0.473034414    0    12.50561304    4.499486576    3
12.75248763    -0.1038210402    -0.4740940865    0    12.43375697    4.494336082    3
12.95817291    -0.1033878563    -0.475153759    0    12.36190089    4.489185589    3
13.16385819    -0.1029546723    -0.4762134316    0    12.29004482    4.484035096    3
13.36954348    -0.1025214884    -0.4772731041    0    12.21818875    4.478884602    4
13.57522876    -0.1020883044    -0.4783327766    0    12.14633268    4.473734109    4
13.78091405    -0.1016551204    -0.4793924491    0    12.07447661    4.468583616    4
13.98659933    -0.1012219365    -0.4804521217    0    12.00262054    4.463433122    4
14.19228462    -0.1007887525    -0.4815117942    0    11.93076447    4.458282629    4
14.3979699    -0.1003555686    -0.4825714667    0    11.8589084    4.453132136    4
14.60365518    -0.09992238459    -0.4836311392    0    11.78705233    4.447981643    4
14.80934047    -0.09948920063    -0.4846908118    0    11.71519626    4.442831149    4
15.01502575    -0.09905601667    -0.4857504843    0    11.64334019    4.437680656    4
15.22071104    -0.09862283271    -0.4868101568    0    11.57148412    4.432530163    4
15.42639632    -0.09818964874    -0.4878698293    0    11.49962805    4.427379669    4
15.63208161    -0.09775646478    -0.4889295019    0    11.42777198    4.422229176    4
15.83776689    -0.09732328082    -0.4899891744    0    11.35591591    4.417078683    4
16.04345217    -0.09689009686    -0.4910488469    0    11.28405984    4.411928189    4
16.24913746    -0.0964569129    -0.4921085194    0    11.21220377    4.406777696    4
16.45482274    -0.09602372894    -0.493168192    0    11.1403477    4.401627203    4
16.66050803    -0.09559054498    -0.4942278645    0    11.06849163    4.39647671    4
16.86619331    -0.09515736102    -0.495287537    0    10.99663556    4.391326216    4
17.0718786    -0.09472417705    -0.4963472095    0    10.92477949    4.386175723    4
17.27756388    -0.09429099309    -0.4974068821    0    10.85292342    4.38102523    4
17.48324916    -0.09385780913    -0.4984665546    0    10.78106734    4.375874736    4
17.68893445    -0.09342462517    -0.4995262271    0    10.70921127    4.370724243    4
17.89461973    -0.09299144121    -0.5005858996    0    10.6373552    4.36557375    4
18.10030502    -0.09255825725    -0.5016455722    0    10.56549913    4.360423256    4
18.3059903    -0.09212507329    -0.5027052447    0    10.49364306    4.355272763    4
18.51167559    -0.09169188933    -0.5037649172    0    10.42178699    4.35012227    4
18.71736087    -0.09125870537    -0.5048245897    0    10.34993092    4.344971777    4
18.92304615    -0.0908255214    -0.5058842622    0    10.27807485    4.339821283    4
19.12873144    -0.09039233744    -0.5069439348    0    10.20621878    4.33467079    4
19.33441672    -0.08995915348    -0.5080036073    0    10.13436271    4.329520297    4
19.54010201    -0.08952596952    -0.5090632798    0    10.06250664    4.324369803    5
19.74578729    -0.08909278556    -0.5101229523    0    9.99065057    4.31921931    5
19.95147258    -0.0886596016    -0.5111826249    0    9.9187945    4.314068817    5
20.15715786    -0.08822641764    -0.5122422974    0    9.846938429    4.308918324    5
20.36284314    -0.08779323368    -0.5133019699    0    9.775082359    4.30376783    5
20.56852843    -0.08736004971    -0.5143616424    0    9.703226288    4.298617337    5
20.77421371    -0.08692686575    -0.515421315    0    9.631370218    4.293466844    5
20.979899    -0.08649368179    -0.5164809875    0    9.559514147    4.28831635    5
21.18558428    -0.08606049783    -0.51754066    0    9.487658077    4.283165857    5
21.39126957    -0.08562731387    -0.5186003325    0    9.415802006    4.278015364    5
21.59695485    -0.08519412991    -0.5196600051    0    9.343945936    4.27286487    5
21.80264013    -0.08476094595    -0.5207196776    0    9.272089865    4.267714377    5
22.00832542    -0.08432776199    -0.5217793501    0    9.200233795    4.262563884    5
22.2140107    -0.08389457803    -0.5228390226    0    9.128377725    4.257413391    5
22.41969599    -0.08346139406    -0.5238986952    0    9.056521654    4.252262897    5
22.62538127    -0.08292780431    -0.5240261935    0    8.988630761    4.244421967    5
22.83106656    -0.08222065317    -0.522542336    0    8.927594071    4.231930348    5
23.03675184    -0.08151350203    -0.5210584785    0    8.866557381    4.21943873    5
23.24243712    -0.08080635089    -0.5195746211    0    8.805520691    4.206947111    5
23.44812241    -0.08009919974    -0.5180907636    0    8.744484001    4.194455493    5
23.65380769    -0.0793920486    -0.5166069062    0    8.683447311    4.181963874    5
23.85949298    -0.07868489746    -0.5151230487    0    8.622410621    4.169472256    5
24.06517826    -0.07797774632    -0.5136391913    0    8.561373931    4.156980637    5
24.27086355    -0.07727059518    -0.5121553338    0    8.500337241    4.144489019    5
24.47654883    -0.07656344404    -0.5106714764    0    8.439300551    4.1319974    5
24.68223411    -0.0758562929    -0.5091876189    0    8.378263861    4.119505782    5
24.8879194    -0.07514914176    -0.5077037615    0    8.317227171    4.107014163    5
